  2.5568442e-001  2.5000000e-001
  2.5687170e-001  2.5568442e-001
  2.7445461e-001  2.5687170e-001
  2.9194339e-001  2.7445461e-001
  3.1595777e-001  2.9194339e-001
  3.2551876e-001  3.1595777e-001
  3.3855095e-001  3.2551876e-001
  3.5959322e-001  3.3855095e-001
  3.5983417e-001  3.5959322e-001
  3.6056407e-001  3.5983417e-001
  3.7365329e-001  3.6056407e-001
  3.9033626e-001  3.7365329e-001
  3.8969535e-001  3.9033626e-001
  3.9881233e-001  3.8969535e-001
  3.9965608e-001  3.9881233e-001
  4.0959789e-001  3.9965608e-001
  4.2647111e-001  4.0959789e-001
  4.4070436e-001  4.2647111e-001
  4.6371700e-001  4.4070436e-001
  4.8440405e-001  4.6371700e-001
  4.9667938e-001  4.8440405e-001
  4.9758902e-001  4.9667938e-001
  5.1308216e-001  4.9758902e-001
  5.2230582e-001  5.1308216e-001
  5.3887810e-001  5.2230582e-001
  5.6078031e-001  5.3887810e-001
  5.7870579e-001  5.6078031e-001
  5.8354997e-001  5.7870579e-001
  5.8278386e-001  5.8354997e-001
  5.9989928e-001  5.8278386e-001
  6.0632396e-001  5.9989928e-001
  6.2061218e-001  6.0632396e-001
  6.3802659e-001  6.2061218e-001
  6.6142252e-001  6.3802659e-001
  6.6843299e-001  6.6142252e-001
  6.7233064e-001  6.6843299e-001
  6.9526552e-001  6.7233064e-001
  7.1125974e-001  6.9526552e-001
  7.2782558e-001  7.1125974e-001
  7.4143099e-001  7.2782558e-001
  7.4027802e-001  7.4143099e-001
  7.5295064e-001  7.4027802e-001
  7.7091019e-001  7.5295064e-001
  7.7352896e-001  7.7091019e-001
  7.7934037e-001  7.7352896e-001
  7.9084450e-001  7.7934037e-001
  7.9520060e-001  7.9084450e-001
  7.9538929e-001  7.9520060e-001
  7.9609980e-001  7.9538929e-001
  7.9794482e-001  7.9609980e-001
